kings	Karalis.
epens	Epans.
dikts	Tāds, kam ir daudz fiziska spēka; spēcīgs.
irkne	Purvaina, mukla staigna vieta.
apios	Apiosas.
džude	Jauna sieviete, džudīte, meitene.
arķis	Mazs, dzenams zirdziņš.
pauka	Sitams mūzikas instruments.
palna	Krāsns slota.
lēsma	Liesma.
ķeģis	Precinieku apzīmējums.
mokas	Lūpas, purns.
šūnas	Bedres, grambas.
čopka	Maza kastīte.
šņors	Aukla.
tupis	Pakaļa.
idams	Budisma mitoloģijā - sargātājdievība, kuru ticīgais izvēlas par savu aizstāvi.
spure	Spura.
žorga	Ar ūdeni pildīta ieplaka; staigna vieta, gramba; peļķe.
apuža	Apakša; apakšējā daļa (priekšmetam); apakšējā puse.
mebra	Ēģiptiešu tilpuma mērs, 4,125 l.
pūsis	Vēja brāzma, īliņš.
fetva	Musulmaņu zemēs - muftija slēdziens par kāda pasākuma vai darbības pieļaujamību no korāna vai šariata viedokļa.
sūsās	Skūpstās.
raice	Raiba vista.
odīts	Odi slēdzēja iekaisums.
kūtrs	Lēns, gauss, arī slinks (par cilvēku).
sarma	Baikāla ezera bora (stiprais ziemeļvējš), ko rada atmosfēras spiediena starpība virs sauszemes un ezera virsmas.
īlīns	Īlens.
reibs	Raibs.
kafrs	Ciems.
obāde	Rīta dziesma - dziesma vai lirisks dzejolis, kas pauž skumjas par rītausmu, kurai jāšķir mīlētāji.
vizla	Vižņi.
skābs	Tāds, kam ir, piemēram, citronam, dzērvenēm raksturīgā garša.
šarve	Netīrumi, kreve.
komas	Kami - pīrādziņi no neraudzētas kviešu mīklas, parasti ar gaļas pildījumu.
līdza	Vienādi, kopā ar.
laula	Laulība.
jusme	Nojauta; jusma.
omaža	Oma.
šķīra	Matu celiņš.
ģēģis	Tāds, kas staigā skrandās.
mudrs	Mundrs.
baime	Bailes, nobailes, izbīšanās; šausmu sajūta.
adums	Adījums.
knibs	Neliels, sīks.
cerra	Tāds, kurš lēnām un aizdomājies mēdz staigāt.
salne	Sirma govs; govs ar sirmu, brūni iesārtu spalvu.
daile	Skaistums, daiļums.
ašķis	Ašķi.
rāžas	Peonijas.
plāča	Kāds, kam patīk plātīties.
gērds	Skaņa.
ģente	Dzimts, vecāki un bērni kopā.
birds	Aužamais šķiets.
grāba	Gaisa grābslis.
trāns	Taukviela, ko iegūst no zivīm, apaļmutēm un jūras zīdītājdzīvniekiem.
lēšķa	Mīksta, savelta pika.
čūrus	Noliecies, ar seju uz leju.
girbe	Girbes koks - parastā irbene ("Viburnum opulus").
jukrs	Krustojums.
piets	Plakanā, paplatinātā (cērtamo, šķeļamo u. tml. rīku) mugurējā daļa.
zebre	Vimba.
zērks	Zārks.
pāsms	Posms, šķipsna.
džīps	Maza, vaļēja militāra automašīna.
fauls	Noteikumu pārkāpums (sporta spēlēs).
šliva	Plūmes ("Prunus").
multa	Soda maksa, naudas sods.
varis	Varš.
vedrs	Vedris - 12,2994 litri.
kulis	Tītars.
mesls	Nodoklis, meteklis.
kočas	Kūčas.
turza	Papīra, tāss u. tml. materiāla veidojums neliela (kā, piemēram, produktu) daudzuma ievietošanai; arī tūta.
aģins	Vecpuisis.
tikrs	Īsts, krietns, patiess.
lāgus	Tā, kā vajadzīgs, kā jābūt; īsti labi.
vītis	Apiņi stīgas.
dārga	Asa purva zāle.
spēķe	Braucamo ratu riteņu sastāvdaļa - stienis, kas savieno ratu riteņa rumbu ar riteņa loku.
terra	Zeme.
rūzgs	Rūsgans.
sveča	Šautene.
mārga	Mārks, dīķis.
sters	Grēdās sakrauta kokmateriālu (parasti malkas, žagaru) mērvienība - 1 kubikmetrs materiāla (ieskaitot gaisa spraugas); krāvummetrs.
glīšs	Glīts.
elsas	Krampjaina, skaļa ieelpa un izelpa (raudot).
omārs	Dzīvnieku valsts posmkāju tipa žaunaiņu apakštipa vēžu klases desmitkājvēžu kārtas rāpotājvēžu apakškārtas dzimta ("Homaridae"), 16 s., dzīvo gk. Atlantijas okeānā, mūža ilgums līdz 50 g.
pouce	Pūce.
šapis	Skapis.
cavia	Jūrascūciņas.
suļļa	Raudulis.
bimba	Vīrišķais loceklis.
zvīra	Svira.
klope	Kautiņš.
calms	Celms.
limts	Salmu sega, ar ko ziemu naktīs aizklāj logus no ārpuses vai arī uzsedz lecektīm, lai aizsargātu pret aukstumu vai salnām.
skula	Žaketes iekšējā sānkabata.
butka	Būda; maza mājiņa.
manca	Kreisā roka.
džigs	Ātra deja.
kārne	Kārums 1(2).
šurca	Svītra no pātagas vai rīksts sitiena.
klīpa	Kāds, kas steigšus un daudz ēd.
tumšs	Savienojumu ar "būt", "tikt", "tapt", "kļūt" formām apzīmē tādu stāvokli (apkaimē, telpā, vidē, arī diennakts posmā), kas ir saistīts ar apgaismojuma trūkumu vai ļoti vāju apgaismojumu.
uvāls	Izstiepta augstiene, izstiepts reljefa pacēlums ar lēzenām nogāzēm, bez skaidri izteiktas piekājes.
ogots	Ar ogām krāsots.
bļūga	Liels pulks, liels daudzums.
gaizs	Rūgts, sarūdzis, sīvs, nepatīkamas garšas.
drāve	Rājiens, draudi.
buksa	Metāla čaula, kārba, kurā griežas ratu ass.
hujus	Šī, tā paša (ģen. no "hic", "haec", "hoc", šis, šī, šis).
dukts	Izpausmes norise.
dadzs	Diždadži ("Arctium").
ļecka	Mīksta, lipīga viela, masa; šādas vielas pika, gabals.
lekma	Lēkme.
kuris	Kurš.
glēma	Gļotainas nogulsnes.
laube	Lapene.
džebs	Taisnais sitiens (boksā).
smite	Līmviela šķēru diegu apstrādei, lai palielinātu to stiprību.
velve	Arkveida būvkonstrukcija telpas vai tās daļas pārsegšanai.
kakas	Fekālijas.
efors	Spartā - viena no piecām tautas sapulcē ik gadus ievēlētām augstākām amatpersonām, kas uzraudzīja administratīvo darbību, kārtoja tieslietas un ārlietas.
agāma	Zvīņrāpuļu kārtas ķirzakveidīgo apakškārtas dzimta ("Agamidae"), rāpulis ar akrodontiem (pie žokļa augšējās malas pieaugušiem) zobiem, 35 ģ., >300 s.
oliņa	Dem. => ola.
popis	Polsterējums saku iekšpusē.
bilge	Bilžas - kuģa vai jahtas korpusa iekšpuses dziļākās vietas, kur satek ieplūdušais ūdens, eļļa u. c.
dilda	Nesaprātīgs cilvēks.
gņēda	Tāds, kas ēd ar gariem zobiem.
šķūte	Obligāti, neatmaksāti darbi.
čāzis	Pulkstenis.
mikva	Sinagogas baseins, kurā notiek rituāla apmazgāšanās.
ebola	Ļoti lipīga slimība, pazīstama kopš 1976. gada.
šlāga	Dažādi būvgruži.
salve	Zalve.
gauša	Cilvēks, kas gari, plaši un garlaicīgi kaut ko stāsta.
služa	Nolaidīga sieviete.
nasus	Deguns.
alfis	Alfabēts.
obeja	Buršanas veids, ko piekopj Vestindijā; tajā Āfrikas reliģiju elementi apvienoti ar atsevišķiem kristietības elementiem.
tīkas	Kāre.
kurba	Kopvārds vairākām pārmaiņām zirga lecamās locītavas pakaļpusē, no kā izmainās kājas kontūra.
žāvas	Nepatvaļīga, dziļa ieelpa ar atvērtu muti.
ceres	Ceri.
ekers	Portatīvs ģeodēziskais instruments taisna leņķa nospraušanai dabā vai situācijas uzmērīšanai.
tusns	Kluss.
jašma	Kristālisks, blīvs dažādas krāsas iezis, kas satur kvarcu un halcedonu (izmanto rotājumiem un mākslas priekšmetu izgatavošanai).
ērķes	Mežrozīšu augļi.
terle	Ļurba; gļēvulīgs, nolaidīgs, neizveicīgs cilvēks.
miķis	Mikrofons.
sārma	Sarma 1.
paņas	Paniņas.
gatja	Apakšbikses; slovāku, ungāru zemnieku un ganu linu bikses.
lukta	Garš, šaurs balkons virs sānu jomiem vai priekšhalles (parasti baznīcās).
šabes	Sabats (1).
mērks	Mārks.
režga	Virvju, auklu pinums siena nešanai.
ežuks	Ežu mazulis.
grims	Ļauns, slikts; īgns.
valsa	Valsas.
parus	Zīlītes.
krops	Šuvums, ar kādu piešuj stulmiem zābaku pēdas virsdaļu.
onera	Nodokļi, nastas.
epoha	Laika moments, kam atbilst astronomisko novērojumu vai aprēķinu dati, kuri raksturo debess spīdekļu stāvokli.
vāsma	Liels daudzums.
šļūpe	Zirgu vilkmes šķūre zemes vai sniega pārvietošanai un nolīdzināšanai.
žukls	Slaiks, veikls.
raipa	Dzelzs stīpa uz (ratu) riteņa.
banja	Bandžo - strinkšķināmais stīgu instruments.
reika	Rika, rieciens.
narrs	Nerrs; āksts, jokdaris.
pūšķa	Tukša, neapdzīvota vieta.
pomme	Ābols.
lezda	Parastā lazda ("Corylus avellana").
žūpis	Žūpa, dzērājs.
devas	Senindiešu mitoloģijā - dievu šķira, kā piem., debesu, gaisa zemes u. c., savu īpašo nozīmi iegūst tad, kad tiek pretstatīti asurām.
apāra	Vieta tīrumos un pļavās ar mīkstu augsni, kur aug gara zāle.
agens	Darbīgais, aktīvais princips.
torts	Torte.
driva	Druva.
čēkšs	Sēcošs, mazliet gārdzošs troksnis (elpošanas orgānos).
kraps	Senatnē pazīstama sarkana krāsviela un literatūrā sastopams nosaukums krāsu augam "Rubia tinctorum", no kura saknes šo krāsu ieguva; vēlāk to aizvieto ar mākslīgo krāsvielu alizarīnu.
dobes	Ar celiņiem norobežoti zemes iedalījumi dārzeņu u. c. kultūraugu audzēšanai.
pļāpa	Pļāpīgs cilvēks.
špāss	Joks.
salsa	Mērce.
tucis	Druķis.
zaime	Zaimi.
karre	Karsta rieva, 1-2 m dziļa rievveida ieplaka, kas radusies, ūdenim šķīdinot kaļķakmeņus vai citus viegli šķīstošus iežus.
žicka	Gara rīkste.
piāns	Rokas iespiedmašīnā - plakana virsma papīra piespiešanai pie iespiedformas.
doķis	Bieza zāle.
lerza	Pļāpīgs, runīgs cilvēks; pļāpa; larza.
alīls	Organisks vienvērtīgs radikālis ar vienu dubultsaiti.
ņucka	Neveikla meitene.
urāts	Urīnskābes sāls.
virša	Ratu kurvis.
upsis	Ūpis.
sagta	Sakta.
mails	Elektroniskā pasta vēstule.
sūres	Sūrpieņi.
bonka	Resns, tukls (par cilvēku).
ķenna	Darvas trauks.
pinne	Šķērskoks, kas jaunu koka piebūvi satur pie vecas koka ēkas, pie pakša.
čupre	Čuprs.
tekne	Gara, samērā šaura cauruļveida ierīce, parasti šķidru vai beramu vielu novadīšanai.
luess	Sifiliss.
dzēle	Zobgalīgi jautrs vīrietis ar asu mēli.
frāze	Runas vienība, vārdu savienojums (parasti teikums).
vatts	Vats.
dārde	Dārds, dārdoņa.
groba	Bedre, izbraukta ratu sliede.
žauds	Vārīgs, jūtīgs.
alata	Lašveidīgo kārtas dzimta ("Thymallidae"), 1 ģ. 6 sugas, Latvijā konstatēta 1 suga.
bioma	Noteiktā klimatiskajā reģionā sastopamo augu un dzīvnieku kopums.
telka	Sejas krāsa.
timus	Mārsili ("Thymus").
ļerza	Pļāpīgs cilvēks; pļāpa.
kaiva	Kaija.
bioss	Bioloģiski aktīvu vielu grupa, kas nepieciešamas normālām dzīvības funkcijām.
ragas	Ragavas.
lerba	Nevarīgs nevīžīgs cilvēks.
corps	Ķermenis, korpuss, korporācija.
aloja	Alveja.
ķērme	Sviesta kuļamā ierīce.
kārts	Kārta, slānis.
pasis	Pastiprinātājs.
lidis	Sliedes.
plēte	Pļava.
dzijs	Dzija, savērpts vilnas pavediens.
visks	Viskijs.
nolis	Kaļķakmens.
kobrs	Cilvēks vai dzīvnieks, kam ir kupris.
odors	Smaka (angļu "odour").
ķērsa	Krustziežu dzimtas ģints ("Cardamine"), viengadīgs, divgadīgs vai daudzgadīgs pļavu, mežu, purvu lakstaugs, 130 sugas, Latvijā konstatētas 6 sugas.
gāšus	Savienojumā ar verba "gāzt" formām vai atvasinājumiem no tā izsaka darbības intensitātes pastiprinājumu.
reivs	Lieli, sākotnēji nelegāli pasākumi pamestās noliktavās, fabrikās vai brīvā dabā, kuru centrā ir dejas visas nakts garumā skaļas un ritmiskas mūzikas pavadībā.
roste	Mala, josta, viduklis (drānām).
aleņš	Dem. --> alus.
bande	Personu grupa, kas apvienojusies noziedzīgai darbībai.
valga	Valgs 1.
čurma	Pūlis, bars, kaudze.
eruka	Sējas pazvērīte ("Eruca sativa").
prāvs	Liels (1).
bulka	Smalkmaizīte.
dēsna	Runga, spieķis, nūja, rīkste.
kurva	Nolaidīga, nevīžīga sieviete.
aplis	Plaknes daļa, ko ierobežo aploce; riņķis.
pļukš	Pļuks.
grots	Galvenā vai apakšējā bura, ko uzvelk grotmastā.
rumbs	Leņķa mērvienība - 1/32 no riņķa līnijas garuma.
bouza	Tunisiešu ēdiens, sātīgs, staipīgs sorgo krēms, ko ēd ramadāna mēnesī.
kamša	Lielēdājs.
odere	Stūre (laivai, ragavām, u. tml.).
ķelva	Govs pļeka.
bankš	Troksnis, kas rodas priekšmetam nokrītot.
silbe	Balsiens, skaņu sakopojums, ko ar vienu mutes atplētumu var izrunāt; zilbe.
vītne	Garens vijums, savīta virkne (parasti no ziediem, zaļumiem kā izgreznošanai); vijīgu augu, to daļu, arī saistītu priekšmetu garens kopums.
vēlme	Vēlēšanās; tas, ko (kāds) vēlas.
liels	Kājas daļa no ceļa locītavas līdz pēdas locītavai; apakšstilbs.
jumts	Konstrukcija, kas sedz (celtni) no augšas; šīs konstrukcijas segums.
dalgs	Izkapts.
falce	Grope; to lieto dažādu būvmateriālu savienojumiem.
rimba	Ripa, rimbulis.
pirle	Aizmugures daļa, aste, tūpļa kauls.
lepra	Hroniska vispārēja infekcijas slimība, kas bojā galvenokārt ādu un nervu sistēmu; spitālība.
žilms	Truls, neizteiksmīgs.
ieass	Mazliet smails.
etaža	Ēkas stāvs, atsevišķas telpas vai telpu kopas līmenisks nodalījums būves kompleksā.
šņīka	Svītra, plaisa.
sekta	Savrupa reliģiska draudze, savrups reliģisks grupējums, kas ir nošķīries no kādas galvenās, valdošās baznīcas, reliģijas, saglabājot tās elementus.
vieža	Raksturs.
tāsts	Tāss.
gļica	Gļiza.
gāgas	Stieptas (parasti zosu) balss skaņas.
odiņš	Dem. --> ods.
zārda	Zarains koks, ko izmanto zirņu vai pupu stādu atbalstam.
musks	Muskuss.
šrume	Klizma, negadījums.
penes	Lāstekas pie jumta.
išēze	Ekskrēcijas vai sekrēcijas aizture.
džips	Apvidus mašīna ar četru riteņu piedziņu.
dūzis	Spēļu kārts ar vienu attiecīgās sugas zīmi (vairākās spēlēs visspēcīgākā vai visvērtīgākā kārts attiecīgajā sugā).
klapa	Alus kanna, kroga kanna, kanna ar vāku.
cvika	Paliela kurpnieku nagla zābaku, kurpju virsas pagaidu piestiprināšanai pie liestes.
blūks	Lieto, lai atdarinātu īslaicīgu, spēcīgu troksni, kas rodas, piemēram, kādam priekšmetam atsitoties pret ūdeni.
okers	Dabiska minerālkrāsa (limonīta paveids) ar dažādiem dzeltenās krāsas toņiem.
kakts	Vieta, kur saskaras (telpas, celtnes) iekšējās sienas, veidojot leņķi; (telpas, celtnes) daļa šādas vietas tuvumā.
ķeķis	Ķekars.
pūčka	Apaļš trauks; darvas trauks.
ideja	Jēdziens, priekšstats, kas cilvēka apziņā atspoguļo īstenību un pauž viņa attieksmi pret apkārtējo pasauli.
apave	Apavs.
būrde	Matu pīne, saite.
zviga	Smējējs.
ordre	Svīta.
luģes	Slēpes.
žvīgs	Lieto (arī atkārtojumā), lai atdarinātu ātru, īslaicīgu kustību, arī īsu sitiena, kritiena troksni.
smaļš	Stiprs, krietns, slaids, smalks.
sēkle	Sēklis 1.
vakte	Sardze.
maijs	Gada piektais mēnesis.
pļiks	Apzīmē atsevišķu skaņu, plīkšķi.
štoka	Spieķis.
pohas	Paģiras.
prome	Prove.
mītus	Maiņa.
bamba	Naba, arī vēders.
ķīlis	Slikts.
vārns	Vārgs.
upupa	Pupuķu ģints.
lampa	Lempīgs, neveikls cilvēks.
tilbe	Noliktava, vezums, telpa.
siels	Plosts.
momme	Japāņu svara mērvienība, vienāda ar 3,75 g.
mīlis	Ogļdeģa bedre.
kenga	Elektriskais atskaldāmais āmurs (angļu "Kangoo").
lulis	Izlutināts bērns, vientiesīgs, padumjš cilvēks.
kopne	Nesošais (pārsedzošu būvkonstrukciju) elements.
krušs	Stāvs, kraujš.
drēgs	Atkusnis, slapjdraņķis.
tiela	Tielēšanās, strīds.
nesta	Nasta.
zelts	Ķīmiskais elements - dzeltens, spīdīgs, samērā mīksts, ļoti plastisks cēlmetāls, periodiskās sistēmas 79. elements, Au, atommasa - 196,9665, zināmi 18 izotopi, no kuriem 1 ir stabils; pārtikas piedeva E175, krāsviela (metāliska), tiek uzskatīta par nekaitīgu lietošanai uzturā.
suišs	Daudz, liels daudzums, pārmērība.
nauka	Plosīšanās, grūstīšanās pūlī ar patikšanu.
tesla	Magnētiskās indukcijas mērvienība starptautiskajā mērvienību sistēmā, T; magnētiskā lauka indukcija ir 1 T, ja lauka izraisītā magnētiskā plūsma caur tam perpendikulāri novietotas virsmas 1 m<sup>2</sup> ir 1 vēbers.
kabes	Šūpotņu stāvkoki.
teips	Materiāls (lipīga saite, plāksteris), ko uzlīmē uz dažādām ķermeņa daļām, lai mazinātu sāpes, regulētu asinsriti un limfas atteci, uzlabotu locītavu darbību u. tml.
kuļka	Vīriešu svārki.
araps	Afērists.
lorza	Pļāpīgs, runīgs cilvēks.
zoģis	Zāģis.
glūda	Galoda.
ailis	Tīkla vai murda kārts.
šilte	Plāksnīte ar uzrakstu; izkārtne.
jasna	Dievkalpojums.
ļuļka	Gulta.
ņirka	Pārāk izvēlīgs (parasti attiecībā uz ēdienu).
čirks	Lieto, lai atdarinātu paīsu griezīgu troksni.
delga	Tāds, kas uzbāžas ar runām un lūgumiem.
ramps	Rampa (parasti noliktavai).
ķibas	Ragavu kulba.
bonne	Pieņemta bērnu audzinātāja ģimenē.
sekte	Sekta.
drāza	Kraupa, krevele; kaut kas nelīdzens.
sekle	Sēklis; arī seklums (1).
šākle	Koka sazarojums.
pūsts	Nekopts, purvains mežs.
fints	Māņu kustība (sporta spēlēs).
velde	Veldre.
meiča	Jauna, neprecējusies sieviete.
ranga	Reņģu nārsts.
sutra	Virca.
maize	Pārtikas produkts, ko cep, parasti no raudzētas mīklas, krāsnī un kam ir raksturīga klaipa, kukuļa forma; šāda pārtikas produkta šķēle, gabals.
rūnis	Kastrēts zirgs.
pliva	Dzirkstele, uguns liesma.
dasts	Koka kārts ar āķveida galu salmu saišķu pacelšanai.
klešs	Saku 1 koks.
vadze	Izarums; zemes strīpa, kas paliek pāri, arot vagas; arot vai ecējot neskarta zemes sloksne tīrumā.
slida	Slidas.
zāles	Līdzekļi slimību profilaksei, ārstēšanai un diagnostikai; medikamenti, zāļu līdzekļi.
īrājs	Airētājs; īrējs.
areca	Areki.
šauva	Sauja.
irīts	Varavīksnenes iekaisums.
pūcis	Zirņu, pupu ēdiens - no samīcītiem zirņiem, pupām (un piedevām) izveidotas nelielas pikas.
zvīls	Slīps, šķībs.
sirds	Dobs asinsrites centrālais orgāns, kas ar muskuļu ritmisku darbību izraisa asins plūsmu pa asinsvadiem.
muļķs	Muļķīgs (1).
shire	Grāfiste.
līdās	Līdzās.
akāca	Ēters, telpa, tukšums.
zarte	Šķira, suga.
kārpe	Ciba 1.
lāpas	Ecēšu veids.
darva	Varavīksne.
žilts	Žults.
šķins	Rīkste, kārts; makšķerkāts.
lorka	Malks.
gudis	Galoda, (izkapts) bruceklis.
mukls	Muklains; staigns, pārmēru mitrs (par augsni), purvains.
ēdums	Apēstais.
breve	Sākumā - katrs īss ziņojums; vēlāk - īss pāvesta raksts par mazāk svarīgiem jautājumiem; šim rakstam nebija bullas svinīgās formas.
dīlis	Darījums, tirgošanās.
kņipa	Knipis.
šķela	Plaisa cietā, sakaltušā māla, pliena zemē.
čapte	Nenoteikts, neliels daudzums; šķipsniņa.
dzīvs	Dzija.
krēba	Vājš strādātājs.
treks	Smagais automobilis; traks (angļu "truck").
ģilka	Gara auguma kalsna meitene.
sišus	Sitot; savienojumā ar "sist" izsaka šīs darbības pastiprinājumu.
brozs	Liela auguma cilvēks ar neveiklām kustībām.
ūjaks	Vilks.
dusns	Tveicīgs, spiedīgs.
kvība	Nelādzīgs, ļauns cilvēks.
kārms	Ēka, celtne.
tolka	Talka.
čocis	Maza bērna dibens.
porza	Pļāpīgs cilvēks.
mafia	Mafija.
dīgns	Staigns, purvains.
kvēle	Stiprs karstums; augsta sakaršanas pakāpe (parasti līdz gaismas izstarošanai).
grūba	Strauja vieta (Daugavā).
pilns	Tāds, kurā (kas, piemēram, viela, priekšmets) ir ievietots tādā daudzumā, ka tajā nav brīvas vietas.
herme	Krūšu tēls jeb galva staba galā, ko Atēnās lietoja kā ceļa rādītāju; vēlāk sastopamas arī ar 2 galvām.
konka	Zirgu tramvajs.
klajš	Tāds, kur nav meža, arī lielu koku, krūmu (par vietu, teritoriju).
ebens	Ebenkoks.
krīža	Sieviete netīrā apģērbā.
kabrs	Kaps.
panta	Salmu, siena, labības kārta (slānis) vai nodaļa šķūnī; pants 2.
emers	Divgraudu kvieši, kviešu suga no plēkšņu kviešu grupas.
ubags	Cilvēks, kas sagādā eksistences līdzekļus ubagojot; arī nabags (1).
ņarga	Suņu vai kaķu plēšanās.
viska	Īskāta liekšķerīte.
tvosa	Tvaiks, garaiņi, suta; snmags, mitrs gaiss.
klakš	Lieto, lai atdarinātu īslaicīgu, paklusu troksni, kas rodas, piemēram, nelieliem koka, arī metāla priekšmetiem strauji saskaroties vai atsitoties pret ko cietu, tiekot iedarbinātiem nelieliem mehānismiem; klakt.
nosis	Pinums (pīta sega) siena un salmu nešanai.
irdza	Čala.
hodka	Soda izciešana, sodāmība, izciestais sods.
žvīka	Svītra.
picka	Pika 1.
zikte	Šautenes tēmēklis.
tējus	Tēja.
ašavs	Ziemzaļā kosa ("Equisetum hiemale").
skuts	Skotele, priekšauts.
ābels	Ābele.
niņņa	Piena dzēriens.
plota	Ledus masa.
skits	Īss humoristiska vai satīriska rakstura literārs sacerējums; īss komiska rakstura uzvedums.
prīze	Godalga.
onoma	Vārds, nosaukums.
smace	Smacējošs, neelpojams gaiss, kas pilns ar dūmiem un putekļiem.
ķirša	Ķirsis ("Cerasus").
rauna	Pārošanās laiks, riests.
kaļčs	Porcelāns.
senza	Bez.
ķetrs	Ass, sīvs, kodīgs (visbiežāk par šķidrumu).
siers	Pārtikas produkts, ko iegūst no piena, sarecinot to ar siera raugu vai ar pienskābes baktērijām.
slota	Rīks (piemēram, telpu, pagalmu, ielu) slaucīšanai - vienādā virzienā sakārtotu, samērā tievu zaru, arī stiebru saišķis, kurā (parasti) ir iestiprināts kāts.
siens	Rupjā lopbarība - nopļauta, izkaltēta zāle, kas satur aptuveni 17 procentu ūdens.
odīte	Atstope.
truls	Neass.
cists	Šķīsts, nevainīgs.
hends	Garuma mērs Anglijā - 10,16 cm.
atārs	Atvars.
duins	Tumšs, neskaidrs, netīrs.
musca	Mušu dzimtas ģints.
cālis	Putnu (parasti vistu) mazulis; arī jaunputns.
vizes	Vižņi.
kņīpe	Kniepe.
ķīsis	Asaru dzimtas suga ("Gymnocephalus cernuus syn. Acerina cernua"), neliela saldūdens zivs ar zaļgani brūnu, melni plankumainu ķermeni.
ļūlis	Dīrātājs, bende.
važma	Vazaņķe.
drofa	Drofu dzimta - putnu klases dzērvjveidīgo kārtas sīgu dzimta ("Otididae"), aizguvums no krievu valodas pēc lielās sīgas nosaukuma krieviski ("drofa").
kadrs	Karaspēka daļas pastāvīgais sastāvs, izlase, kodols, pamats, kas veic iestādes administratīvos, mācības un saimnieciskos darbus.
peres	Bišu u. c. kukaiņu oliņas, arī kāpuri; peri.
spara	Spars, enerģija.
šūtra	Svītra.
pleda	Plāns miežu miltu plācenis.
volga	Krievu automobiļu marka; šīs markas automobilis.
āmiņa	Dem. --> āma (2).
cinks	Ziņojums.
tigrs	Tīģeris.
ķīkas	Iekšas.
kosas	Savienojumā "acu kosas" - acs radzene.
nēšas	Nēši.
pleca	Plecs.
trāba	Rīma (cilvēks vai dzīvnieks).
tvāra	Žogs ar horizontālām kārtīm.
piene	Saules dievkrēsliņš ("Euphorbia helioscopia").
ņecka	Mīksts pikucis.
kņūta	Resna nūja.
stage	Stalažas, skatuve.
bāuls	Misticiskas bengāļu sektas loceklis; šī sekta kā sevišķu vērtību uzsver brīvību no spaidiem, no dogmām un no sociālo kastu sistēmas un vairās no jebkādām ārējām reliģiskas pielūgsmes izpausmēm.
ķilde	Kaijveidīgo apakškārtas putns ar dzeltenpelēku knābi un zaļganpelēkām kājām; kajaks 1.
šlute	Platcirvis slīperu malu apdarināšanai, nolīdzināšanai; šluta; šļuta; šļute.
ķaula	Čaula.
žulna	Nolaidīgi mazgāts.
šilka	Svītra.
cieņa	Ēdiens, dzēriens, ar ko cienā.
širme	Lietussargs.
ruste	Alkšņu mizās iegūta krāsa; alkšņu mizu krāsviela.
ādere	Pazemes ūdeņus saturoša dzīsla vai slānis.
capis	Lamuvārds.
trate	Trata.
malva	Bauma, tenka, apruna.
ļurra	Slikts cilvēks.
tošņa	Kāds, kas elso, sten (piemēram, saslimusi govs).
agars	Recekļviela, ko iegūst no dažām jūras aļģēm.
sūrms	Sūrs.
ducis	Skaita mērvienība - 12 gabalu; kopa, kurā ir divpadsmit (parasti vienveidīgu) priekšmetu.
apuss	Dienvidamerikas indiāņu ticējumos - kalnu gars, kas dzīvo augstās sniegiem klātās Andu virsotnēs un valda pār visu apgabalu; katram apusam ir vārds, kas ir tā kalna nosaukums, kurā šis gars mājo.
aknas	Iekšējais orgāns (cilvēkam un dzīvniekiem), kas izdala žulti un veic daudzas citas ar vielmaiņu saistītas funkcijas.
mirza	Valdnieka nama locekļu un vispār aristokrātijas tituls (dažām austrumu tautām); liekams aiz vārda.
ēdūņa	Ļoti rūpīgs, strādīgs, arī taupīgs cilvēks.
josta	Saite, šaura sloksne, ko apņem ap vidukli.
faška	Pakausis.
bļāva	Kliedzējs, bļāvējs.
ķieka	Biezs (maizes) gabals.
klukš	Lieto (parasti atkārtojumā), lai atdarinātu perētājas vistas, arī cāļu mātes balss skaņas.
palda	Apģērba ieloce.
tubis	Stublājs vai stumbrs bez lapām vai zariem.
bunts	Dumpis 1.
ergas	Dusmas.
ķelba	Klapata, mokas.
šoste	Slieka.
lonža	Virve, trose, ko izmanto, piemēram, akrobātu nodrošināšanai lēcienos; drošības josta, piemēram, cirka māksliniekiem, sporta vingrotājiem.
kaisa	Dedzība.
samsa	Tunisiešu ēdiens, kārtainās mīklas izstrādājums, pildīts ar grauzdētām mandelēm un sezama sēkliņām rožūdens sīrupā.
štābs	Galvenā karaspēka vadības institūcija.
ķulis	Neass cirvis.
ātrie	Neatliekamās medicīniskās palīdzības stacija.
līkņa	Staigna pļava aizaugušā ezermalā.
korma	Indiešu virtuves ēdiens - garšvielās cepta gaļa vai dārzeņi mērcē.
koķis	Ēdiens; tas pats kas grūdenis, arī zīdenis.
prāce	Rūpes, bēdas.
ivans	Krievs.
lepta	Sīka senebreju vara monēta.
purvs	Pārmitra ekoloģiskā sistēma, kurā noris kūdras uzkrāšanās process un kurā galvenais organiskās masas veidotājs ir zemsedze; attiecīgā vieta, nogabals u. tml.
zoķis	Ziede.
šļoga	Slapjš sniegs, sniegs ar lietu.
kudža	Silta villaine, plecu lakats.
skāre	Ratu korpuss; arī ratu apmale.
fests	Festivāls.
singa	Riteņzirnekļu dzimtas ģints.
eloge	Slavinājums, piemiņas runa vai raksts.
drīžs	Ātrs, žigls.
jipts	Inde.
glica	Plāna ādas virskārta.
nesls	Tas, ko kāds pienes, pieliek klāt.
blaps	Vaboļu kārtas melnuļu dzimtas ģints.
stola	Senajā Romā gara kleita līdz zemei (ar jostu).
