dowve	A dove.
moira	The deity who assigns to every man his lot.
noule	The top of the head; the head or noll.
unwit	Want of wit or understanding; ignorance.
woald	See Weld.
weave	A particular method or pattern of weaving; as, the cassimere weave.
antre	A cavern.
ictus	The stress of voice laid upon accented syllable of a word.  Cf. Arsis.
paten	A plate.
vaunt	The first part.
nopal	A cactaceous plant (Nopalea cochinellifera), originally Mexican, on which the cochineal insect feeds, and from which it is collected.  The name is sometimes given to other species of Cactaceae.
oriol	See Oriel.
facia	See Fascia.
gisle	A pledge.
garth	A hoop or band.
azote	A switch or whip.
eclat	Brilliancy of success or effort; splendor; brilliant show; striking effect; glory; renown.
vagus	The vagus, or pneumogastric, nerve.
yakut	The Turkish language of the Yakuts, a Mongolian people of northeastern Siberia, which is lingua franca over much of eastern Siberia.
bogus	A liquor made of rum and molasses.
fonne	A fon.
lotto	A game of chance, played with cards or tickets, on which are inscribed numbers, and any contrivance (as a wheel containing numbered balls) for determining a set of numbers by chance.  The player holding a card having on it the set of numbers drawn from the wheel takes the stakes after a certain percentage of them has been deducted for the dealer.  In some systems, lesser prizes are awarded for having some but not all of the numbers selected, such as four or five numbers in a six-number drawing.  A variety of lotto is called keno.  In another variety, the player chooses the numbers for the card or ticket s/he holds.  There may be from three to seven different numbers on a card or ticket.  In a modern computerized lotto system conducted by state authorities, the player chooses numbers, or allows the computer to choose numbers at random, which are then printed on a ticket that the player holds until the winning number is selected.
tetel	A large African antelope (Alcelaphus tora). It has widely divergent, strongly ringed horns.
bossy	A cow or calf; -- familiarly so called.
finos	Second best wool from Merino sheep.
klick	See Click.
malum	An evil. See Mala.
cater	The four of cards or dice.
halve	A half.
minny	A minnow.
murry	See Muraena.
meson	The mesial plane dividing the body of an animal into similar right and left halves. The line in which it meets the dorsal surface has been called the dorsimeson, and the corresponding ventral edge the ventrimeson.
nylon	Any of several thermoplastic polyamide plastics, comprising a family of high-strength resilient synthetic materials, used mostly in fibers.
styca	An anglo-Saxon copper coin of the lowest value, being worth half a farthing.
taled	A kind of quadrangular piece of cloth put on by the Jews when repeating prayers in the synagogues.
comet	A member of the solar system which usually moves in an elongated orbit, approaching very near to the sun in its perihelion, and receding to a very great distance from it at its aphelion. A comet commonly consists of three parts: the nucleus, the envelope, or coma, and the tail; but one or more of these parts is frequently wanting. See Illustration in Appendix.
calla	A genus of plants, of the order Arace<ae/.
plitt	An instrument of punishment or torture resembling the knout, used in Russia.
slime	Soft, moist earth or clay, having an adhesive quality; viscous mud.
ursus	A genus of Carnivora including the common bears.
xeres	Sherry.  See Sherry.
bohea	Bohea tea, an inferior kind of black tea. See under Tea.
felly	The exterior wooden rim, or a segment of the rim, of a wheel, supported by the spokes.
prune	A plum; esp., a dried plum, used in cookery; as, French or Turkish prunes; California prunes.
popet	A puppet.
boyer	A Flemish sloop with a castle at each end.
jinks	noisy and mischievous merrymaking.
jorum	A large drinking vessel; also, its contents.
koala	A tailless furry marsupial (Phascolarctos cinereus), found in Australia. The female carries her young on the back of her neck. Called also Australian bear, koala bear, native bear, and native sloth.  The koala lives almost all of its life in trees, moves sluggishly like a sloth, and eats eucalyptus leaves almost exclusively.
mormo	A bugbear; false terror.
ousel	One of several species of European thrushes, especially the blackbird (Merula merula, or Turdus merula), and the mountain or ring ousel (Turdus torquatus).
roger	A black flag with white skull and crossbones, formerly used by pirates; -- called also Jolly Roger and pirate flag.
shude	The husks and other refuse of rice mills, used to adulterate oil cake, or linseed cake.
bason	A basin.
flank	To stand at the flank or side of; to border upon.
sewen	A British trout usually regarded as a variety (var. Cambricus) of the salmon trout.
vogle	Same as Vugg.
skeel	A shallow wooden vessel for holding milk or cream.
scate	See Skate, for the foot.
paris	The chief city of France.
trier	One who tries; one who makes experiments; one who examines anything by a test or standard.
vowel	A vocal, or sometimes a whispered, sound modified by resonance in the oral passage, the peculiar resonance in each case giving to each several vowel its distinctive character or quality as a sound of speech; -- distinguished from a consonant in that the latter, whether made with or without vocality, derives its character in every case from some kind of obstructive action by the mouth organs. Also, a letter or character which represents such a sound.  See Guide to Pronunciation, <sect/<sect/ 5, 146-149.
cream	The rich, oily, and yellowish part of milk, which, when the milk stands unagitated, rises, and collects on the surface. It is the part of milk from which butter is obtained.
pavon	A small triangular flag, esp. one attached to a knight's lance; a pennon.
odmyl	A volatile liquid obtained by boiling sulphur with linseed oil.  It has an unpleasant garlic odor.
strop	A piece of rope spliced into a circular wreath, and put round a block for hanging it.
azole	Any of a large class of compounds characterized by a five-membered ring which contains an atom of nitrogen and at least one other noncarbon atom (nitrogen, oxygen, sulphur). The prefixes furo-, thio, and pyrro- are used to distinguish three subclasses of azoles, which may be regarded as derived respectively from furfuran, thiophene, and pyrrol by replacement of the CH group by nitrogen; as, furo-monazole. Names exactly analogous to those for the azines are also used; as, oxazole, diazole, etc.
donet	Same as Donat. Piers Plowman.
manes	The benevolent spirits of the dead, especially of dead ancestors, regarded as family deities and protectors.
smerk	See Smirk.
yeman	A yeoman.
yufts	Russia leather.
argil	Clay, or potter's earth; sometimes pure clay, or alumina. See Clay.
frock	A loose outer garment; especially, a gown forming a part of European modern costume for women and children; also, a coarse shirtlike garment worn by some workmen over their other clothes; a smock frock; as, a marketman's frock.
elect	One chosen or set apart.
larry	Same as Lorry, or Lorrie.
rhomb	An equilateral parallelogram, or quadrilateral figure whose sides are equal and the opposite sides parallel.  The angles may be unequal, two being obtuse and two acute, as in the cut, or the angles may be equal, in which case it is usually called a square.
cheng	A chinese reed instrument, with tubes, blown by the mouth.
demur	Stop; pause; hesitation as to proceeding; suspense of decision or action; scruple.
praam	A flat-bottomed boat or lighter, -- used in Holland and the Baltic, and sometimes armed in case of war.
pinto	Any pied animal; esp., a pied or <ldquo/painted<rdquo/ horse.
scrim	A kind of light cotton or linen fabric, often woven in openwork patterns, -- used for curtains, etc,; -- called also India scrim.
clime	A climate; a tract or region of the earth. See Climate.
manid	Any species of the genus Manis, or family Manidae.
gobio	A genus of fish comprising the true gudgeons.
basan	Same as Basil, a sheepskin.
fjord	See Fiord.
cliff	See Clef.
sigma	The Greek letter <SIGMA/, <sigma/, or <sigmat/ (English S, or s). It originally had the form of the English C.
nurse	One who nourishes; a person who supplies food, tends, or brings up; as: (a) A woman who has the care of young children; especially, one who suckles an infant not her own. (b) A person, especially a woman, who has the care of the sick or infirm.
pasta	Any of a variety of edible unleavened doughey preparations made from flour, eggs and water, originating in Italy, and shaped into various forms, such as solid strings (as spaghetti), hollow tubes, or layered squares (ravioli).  They may be mixed with various sauces, often having a tomato base, or filled with meat or cheese fillings.
slade	A little dell or valley; a flat piece of low, moist ground.
tapir	Any one of several species of large odd-toed ungulates belonging to Tapirus, Elasmognathus, and allied genera. They have a long prehensile upper lip, short ears, short and stout legs, a short, thick tail, and short, close hair. They have three toes on the hind feet, and four toes on the fore feet, but the outermost toe is of little use.
fifer	One who plays on a fife.
gripe	Grasp; seizure; fast hold; clutch.
padow	A paddock, or toad.
roust	A strong tide or current, especially in a narrow channel.
souse	The act of sousing, or swooping.
sabot	A kind of wooden shoe worn by the peasantry in France, Belgium, Sweden, and some other European countries.
stufa	A jet of steam issuing from a fissure in the earth.
vigil	Abstinence from sleep, whether at a time when sleep is customary or not; the act of keeping awake, or the state of being awake; sleeplessness; wakefulness; watch.
aesir	In the old Norse mythology, the gods Odin, Thor, Loki, Balder, Frigg, and the others.  Their home was called Asgard.
antes	Ant<ae/. See Anta.
water	The fluid which descends from the clouds in rain, and which forms rivers, lakes, seas, etc.
manta	The manta ray.  See also Cephaloptera and Sea devil.
paque	See Pasch and Easter.
hulan	See Uhlan.
knack	A petty contrivance; a toy; a plaything; a knickknack.
pekan	See Fisher, 2.
sough	The sound produced by soughing; a hollow murmur or roaring.
sorry	Grieved for the loss of some good; pained for some evil; feeling regret; -- now generally used to express light grief or affliction, but formerly often used to express deeper feeling.
tripe	The large stomach of ruminating animals, when prepared for food.
bacca	an indehiscent fruit derived from a single ovary having one or many seeds within a fleshy wall or pericarp: e. g. grape; tomato; cranberry.
plane	A surface, real or imaginary, in which, if any two points are taken, the straight line which joins them lies wholly in that surface; or a surface, any section of which by a like surface is a straight line; a surface without curvature.
knish	A fried, or sometimes baked, turnover made from a round or square sheet of dough containing a filling, usually of meat or potatoes.
merou	See Jack, 8 (c).
rouge	A red amorphous powder consisting of ferric oxide.  It is used in polishing glass, metal, or gems, and as a cosmetic, etc. Called also crocus, jeweler's rouge, etc.
salmi	Same as Salmis.
tasto	A key or thing touched to produce a tone.
daily	A publication which appears regularly every day; as, the morning dailies.
jager	A sharpshooter. See Yager.
tromp	A blowing apparatus, in which air, drawn into the upper part of a vertical tube through side holes by a stream of water within, is carried down with the water into a box or chamber below which it is led to a furnace.
thrid	Thread; continuous line.
virge	A wand.  See Verge.
alert	An alarm from a real or threatened attack; a sudden attack; also, a bugle sound to give warning.
suede	Swedish glove leather, -- usually made from lambskins tanned with willow bark. Also used adjectively; as, suede gloves; blue suede shoes.
mucus	A viscid fluid secreted by mucous membranes, which it serves to moisten and protect. It covers the lining membranes of all the cavities which open externally, such as those of the mouth, nose, lungs, intestinal canal, urinary passages, etc.
ratch	A ratchet wheel, or notched bar, with which a pawl or click works.
swamp	Wet, spongy land; soft, low ground saturated with water, but not usually covered with it; marshy ground away from the seashore.
naker	A kind of kettledrum.
radar	An electronic device designed to detect objects at a distance, and determine their distance from the device, by transmitting a pulse of radio waves and measuring the time required for the echo of the pulse to return to the emitting device; as, the radar showed a plane approaching rapidly.  For more information of radar, see the article <a href="radar.htm">What is Radar?.
viage	A voyage; a journey.
dowse	A blow on the face.
dhole	A fierce, wild dog (Canis Dukhunensis), found in the mountains of India. It is remarkable for its propensity to hunt the tiger and other wild animals in packs.
mulch	Half-rotten straw, or any similar light, porous, organic substance strewn on the ground, as over the roots of plants, to protect from heat, drought, etc., and to hinder weed growth and preserve moisture.
riser	One who rises; as, an early riser.
ester	An ethereal salt, or compound ether, consisting of an organic radical united with the residue of any oxygen acid, organic or inorganic; thus the natural fats are esters of glycerin and the fatty acids, oleic, etc.
galei	That division of elasmobranch fishes which includes the sharks.
dying	The act of expiring; passage from life to death; loss of life.
feces	Dregs; sediment; excrement. See faeces.
kitty	A kitten; also, a pet name or calling name for the cat.
plaza	A public square in a city or town.
volva	A saclike envelope of certain fungi, which bursts open as the plant develops.
chard	The tender leaves or leafstalks of the artichoke, white beet, etc., blanched for table use.
cupid	The god of love, son of Venus; usually represented as a naked, winged boy with bow and arrow.
segar	See Cigar.
agend	See Agendum.
catch	Act of seizing; a grasp.
frosh	a student during his first year in a high school, college, or university; a freshman.
sicer	A strong drink; cider.
blitz	a quick move by defensive players toward the passer on the offensive team, as soon as the ball is snapped; -- it is used when the defensive teams assumes that a pass will be attempted, and risks allowing substantial gains by the offensive team if other plays are in fact planned.
chalk	A soft, earthy substance, of a white, grayish, or yellowish white color, consisting of calcium carbonate, and having the same composition as common limestone.
delta	an object having the shape of the capital <DELTA/.
maybe	Possibility; uncertainty.
plica	A disease of the hair (Plica polonica), in which it becomes twisted and matted together. The disease is of Polish origin, and is hence called also Polish plait.
kloof	A glen; a ravine closed at its upper end.
muset	A small hole or gap through which a wild animal passes; a muse.
ceres	The daughter of Saturn and Ops or Rhea, the goddess of corn and tillage.
gally	See Galley, n., 4.
inker	One who, or that which, inks; especially, in printing, the pad or roller which inks the type.
menow	A minnow.
naeve	A naevus.
payee	The person to whom money is to be, or has been, paid; the person named in a bill or note, to whom, or to whose order, the amount is promised or directed to be paid. See Bill of exchange, under Bill.
shook	The parts of a piece of house furniture, as a bedstead, packed together.
capel	A composite stone (quartz, schorl, and hornblende) in the walls of tin and copper lodes.
heron	Any wading bird of the genus Ardea and allied genera, of the family Ardeidae. The herons have a long, sharp bill, and long legs and toes, with the claw of the middle toe toothed. The common European heron (Ardea cinerea) is remarkable for its directly ascending flight, and was formerly hunted with the larger falcons.
croak	The coarse, harsh sound uttered by a frog or a raven, or a like sound.
souce	See 1st Souse.
pyxis	A box; a pyx.
train	That which draws along; especially, persuasion, artifice, or enticement; allurement.
fulbe	Same as Fulahs.
lover	One who loves; one who is in love; -- usually limited, in the singular, to a person of the male sex.
tabor	A small drum used as an accompaniment to a pipe or fife, both being played by the same person.
tewel	A pipe, funnel, or chimney, as for smoke.
ghole	See Ghoul.
stang	A long bar; a pole; a shaft; a stake.
pitch	A throw; a toss; a cast, as of something from the hand; as, a good pitch in quoits.
aotus	a genus of nocturnal South American monkeys with large eyes; the owl monkeys; the douroucoulis.  See douroucouli.
padre	A Christian priest or monk; used as a term of address for priests in some churches (especially Roman or Orthodox Catholic in Italy, Spain, Portugal, and Spanish America); -- also used in the American military.
glave	See Glaive.
gayal	A Southern Asiatic species of wild cattle (Bibos frontalis).
solas	Solace.
three	The number greater by a unit than two; three units or objects.
visto	A vista; a prospect.
xebec	A small three-masted vessel, with projecting bow and stern and convex decks, used in the Mediterranean for transporting merchandise, etc.  It carries large square sails, or lateen sails, or both.  Xebecs were formerly armed and used by corsairs.
brine	Water saturated or strongly impregnated with salt; pickle; hence, any strong saline solution; also, the saline residue or strong mother liquor resulting from the evaporation of natural or artificial waters.
canoe	A boat used by rude nations, formed of trunk of a tree, excavated, by cutting of burning, into a suitable shape. It is propelled by a paddle or paddles, or sometimes by sail, and has no rudder.
higre	See Eagre.
point	To give a point to; to sharpen; to cut, forge, grind, or file to an acute end; as, to point a dart, or a pencil. Used also figuratively; as, to point a moral.
eneid	Same as <AE/neid.
grain	To yield fruit.
prude	A woman of affected modesty, reserve, or coyness; one who is overscrupulous or sensitive; one who affects extraordinary prudence in conduct and speech.
razor	A keen-edged knife of peculiar shape, used in shaving the hair from the face or the head; also called a straight razor.
siwin	Same as Sewen.
squab	A nestling of a pigeon or other similar bird, esp. when very fat and not fully fledged.
cryal	The heron
oozoa	Same as Acrita.
snout	The long, projecting nose of a beast, as of swine.
stink	A strong, offensive smell; a disgusting odor; a stench.
theta	A letter of the Greek alphabet corresponding to th in English; -- sometimes called the unlucky letter, from being used by the judges on their ballots in passing condemnation on a prisoner, it being the first letter of the Greek qa`natos, death.
logos	A word; reason; speech.
noier	An annoyer.
fleam	A sharp instrument used for opening veins, lancing gums, etc.; a kind of lancet.
ligan	Goods sunk in the sea, with a buoy attached in order that they may be found again. See Jetsam and Flotsam.
musty	Having the rank, pungent, offensive odor and taste which substances of organic origin acquire during warm, moist weather; foul or sour and fetid; moldy; as, musty corn; musty books.
maria	Plural form of mare, a dark region of considerable extent on the surface of the moon.
sward	Skin; covering.
anode	The positive pole of an electric battery, or more strictly the electrode by which the current enters the electrolyte on its way to the other pole; -- opposed to cathode.
focus	A point in which the rays of light meet, after being reflected or refracted, and at which the image is formed; as, the focus of a lens or mirror.
dandy	One who affects special finery or gives undue attention to dress; a fop; a coxcomb.
fairy	Enchantment; illusion.
quoif	See Coif.
smith	To beat into shape; to forge.
tiver	A kind of ocher which is used in some parts of England in marking sheep.
beano	a game in which numbered balls are drawn and random and players cover the correponding numbers on their cards.
crash	Coarse, heavy, narrow linen cloth, used esp. for towels.
druse	One of a people and religious sect dwelling chiefly in the Lebanon mountains of Syria.
moose	A large cervine mammal (Alces alces syn. Alces machlis, syn Alces Americanus), native of the Northern United States and Canada. The adult male is about as large as a horse, and has very large, palmate antlers. It closely resembles the European elk, and by many Zoologists is considered the same species. See Elk.
prize	Estimation; valuation.
rough	Boisterous weather.
broom	A plant having twigs suitable for making brooms to sweep with when bound together; esp., the Cytisus scoparius of Western Europe, which is a low shrub with long, straight, green, angular branches, minute leaves, and large yellow flowers.
crust	To cover with a crust; to cover or line with an incrustation; to incrust.
louse	Any one of numerous species of small, wingless, suctorial, parasitic insects belonging to a tribe (Pediculina), now usually regarded as degraded Hemiptera. To this group belong of the lice of man and other mammals; as, the head louse of man (Pediculus capitis), the body louse (Pediculus vestimenti), and the crab louse (Phthirius pubis), and many others. See Crab louse, Dog louse, Cattle louse, etc., under Crab, Dog, etc.
swath	A line of grass or grain cut and thrown together by the scythe in mowing or cradling.
culpe	Blameworthiness.
hauls	See Hals.
theca	A sheath; a case; as, the theca, or cell, of an anther; the theca, or spore case, of a fungus; the theca of the spinal cord.
orang	See Orang-outang.
sicca	A seal; a coining die; -- used adjectively to designate the silver currency of the Mogul emperors, or the Indian rupee of 192 grains.
kudos	Glory; fame; renown; praise.
perry	A sudden squall. See Pirry.
spasm	An involuntary and unnatural contraction of one or more muscles or muscular fibers.
stack	To lay in a conical or other pile; to make into a large pile; as, to stack hay, cornstalks, or grain; to stack or place wood.
thoth	The god of eloquence and letters among the ancient Egyptians, and supposed to be the inventor of writing and philosophy. He corresponded to the Mercury of the Romans, and was usually represented as a human figure with the head of an ibis or a lamb.
gumma	A kind of soft tumor, usually of syphilitic origin.
graft	To insert (a graft) in a branch or stem of another tree; to propagate by insertion in another stock; also, to insert a graft upon.
lanai	an island in the Hawaiian chain.
benny	same as benne or benni.
dagda	in Irish legend, chief god of the Tuatha De Danann; father of Angus Og and Brigit.
lares	See 1st Lar.
livre	A French money of account, afterward a silver coin equal to 20 sous. It is not now in use, having been superseded by the franc.
taker	One who takes or receives; one who catches or apprehends.
ionia	A region of Western Asia Minor colonized by the Ancient Greeks.
kayko	The dog salmon.
malta	A country on the island of Malta.
midas	A genus of longeared South American monkeys, including numerous species of marmosets. See Marmoset.
rowen	A stubble field left unplowed till late in the autumn, that it may be cropped by cattle.
wends	A Slavic tribe which once occupied the northern and eastern parts of Germany, of which a small remnant exists.
yerba	An herb; a plant.
fichu	A light cape, usually of lace, worn by women, to cover the neck and throat, and extending to the shoulders.
haver	The oat; oats.
filth	Foul matter; anything that soils or defiles; dirt; nastiness.
hiver	One who collects bees into a hive.
optic	The organ of sight; an eye.
pasty	A pie consisting usually of meat wholly surrounded with a crust made of a sheet of paste, and often baked without a dish; a meat pie.
agent	One who exerts power, or has the power to act; an actor.
flang	A miner's two-pointed pick.
geese	pl. of Goose.
tobit	A book of the Apocrypha.
amble	A peculiar gait of a horse, in which both legs on the same side are moved at the same time, alternating with the legs on the other side.
claim	A demand of a right or supposed right; a calling on another for something due or supposed to be due; an assertion of a right or fact.
boyau	A winding or zigzag trench forming a path or communication from one siegework to another, to a magazine, etc.
ancle	See Ankle.
brize	The breeze fly. See Breeze.
stand	The act of standing.
sadda	A work in the Persian tongue, being a summary of the Zend-Avesta, or sacred books.
bravo	A daring villain; a bandit; one who sets law at defiance; a professional assassin or murderer.
flick	A light quick stroke or blow, esp. with something pliant; a flirt; also, the sound made by such a blow.
lakke	See Lack.
serac	A pinnacle of ice among the crevasses of a glacier; also, one of the blocks into which a glacier breaks on a steep grade.
haoma	A leafless East Indian vine (Sarcostemma acidum); its sour milky juice was formerly used to make an intoxicating drink.
juggs	See Jougs.
noyau	A cordial of brandy, etc., flavored with the kernel of the bitter almond, or of the peach stone, etc.
orbit	The path described by a heavenly body in its periodical revolution around another body; as, the orbit of Jupiter, of the earth, of the moon.
ruler	One who rules; one who exercises sway or authority; a governor.
spore	One of the minute grains in flowerless plants, which are analogous to seeds, as serving to reproduce the species.
korin	The gazelle.
llama	A South American ruminant (Auchenia llama), allied to the camels, but much smaller and without a hump. It is supposed to be a domesticated variety of the guanaco. It was formerly much used as a beast of burden in the Andes, and is also kept on some ranches in the United States.
ukase	In Russia, a published proclamation or imperial order, having the force of law.
dirge	A piece of music of a mournful character, to accompany funeral rites; a funeral hymn.
ducat	A coin, either of gold or silver, of several countries in Europe; originally, one struck in the dominions of a duke.
norma	A norm; a principle or rule; a model; a standard.
waift	A waif.
conch	A name applied to various marine univalve shells; esp. to those of the genus Strombus, which are of large size. Strombus gigas is the large pink West Indian conch.  The large king, queen, and cameo conchs are of the genus Cassis. See Cameo and cameo conch.
canto	One of the chief divisions of a long poem; a book.
weber	The standard unit of electrical quantity, and also of current.  See Coulomb, and Amp<?/re.
areca	A genus of palms, one species of which (Areca catechu) produces the areca nut, or betel nut, which is chewed in India and Southeast Asia with the leaf of the Piper Betle and lime.
kyack	A pack sack to be swung on either side of a packsaddle.
poult	A young chicken, partridge, grouse, or the like.
rivel	A wrinkle; a rimple.
reeve	The female of the ruff.
soldo	A small Italian coin worth a sou or a cent; the twentieth part of a lira.
atimy	Public disgrace or stigma; infamy; loss of civil rights.
aisle	Also (perhaps from confusion with alley), a passage into which the pews of a church open.
swill	The wash, or mixture of liquid substances, given to swine; hogwash; -- called also swillings.
trice	A very short time; an instant; a moment; -- now used only in the phrase in a trice.
dolma	a dish composed of well-seasoned rice (with nuts or currants of minced lamb) simmered or braised in stock, stuffed into tomatoes or green peppers, or wrapped in grape leaves; -- popular in the near east.
setim	See Shittim.
zerda	The fennec.
union	The act of uniting or joining two or more things into one, or the state of being united or joined; junction; coalition; combination.
yakin	A large Asiatic antelope (Budorcas taxicolor) native of the higher parts of the Himalayas and other lofty mountains. Its head and neck resemble those of the ox, and its tail is like that of the goat. Called also budorcas.
dolor	Pain; grief; distress; anguish.
eagle	Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Hali<ae/etus.  The eagle is remarkable for strength, size, graceful figure, keenness of vision, and extraordinary flight.  The most noted species are the golden eagle (Aquila chrysa<eum/tus); the imperial eagle of Europe (Aquila mogilnik or Aquila imperialis); the American bald eagle (Hali<ae/etus leucocephalus); the European sea eagle (Hali<ae/etus albicilla); and the great harpy eagle (Thrasaetus harpyia).  The figure of the eagle, as the king of birds, is commonly used as an heraldic emblem, and also for standards and emblematic devices.  See Bald eagle, Harpy, and Golden eagle.
mohur	A British Indian gold coin, of the value of fifteen silver rupees, or $7.21 (in 1913).
quarl	A medusa, or jellyfish.
sorwe	Sorrow.
ashen	obs. pl. for Ashes.
baria	Baryta.
vimen	A long, slender, flexible shoot or branch.
rinse	The act of rinsing.
shrug	A gesture consisting of drawing up the shoulders, -- a motion usually expressing doubt, indifference, or dislike; -- it is sometimes accompanied by a slight turning of the hands outward or upward.  Such a gesture may be made, as in answering "who knows" to a question, suggesting utter ignorance of an answer and a disinclination to pursue the topic further.
ocean	The whole body of salt water which covers more than three fifths of the surface of the globe; -- called also the sea, or great sea.
wesil	See Weasand.
argal	Crude tartar. See Argol.
bunch	A protuberance; a hunch; a knob or lump; a hump.
itala	An early Latin version of the Scriptures (the Old Testament was translated from the Septuagint, and was also called the Italic version).
stoup	A flagon; a vessel or measure for liquids.
story	A narration or recital of that which has occurred; a description of past events; a history; a statement; a record.
await	A waiting for; ambush; watch; watching; heed.
dacha	a Russian country house, especially a cottage used in the summer.
cramp	Knotty; difficult.
earsh	See Arrish.
fakir	See Faker.
hogan	An earth-covered Navajo lodge; it is traditionally built with the entrance facing east.
leche	See water buck, under 3d Buck.
leger	Anything that lies in a place; that which, or one who, remains in a place.
cagit	A kind of parrot, of a beautiful green color, found in the Philippine Islands.
charm	To make music upon; to tune.
psalm	A sacred song; a poetical composition for use in the praise or worship of God.
roast	That which is roasted; a piece of meat which has been roasted, or is suitable for being roasted.
mimeo	A mimeograph.
notum	The back.
lyssa	Hydrophobia.
scrit	Writing; document; scroll.
butch	a lesbian who is noticeably masculine.
doole	Sorrow; dole.
hooky	A word used only in the expression to play hooky, to be truant, to run away; -- used mostly of youths absent from school without a valid reason and without the knowledge of their parents.  Also (figuratively and jocosely), to be absent from duty for frivolous reasons.
rowdy	One who engages in rows, or noisy quarrels; a ruffianly fellow.
salep	The dried tubers of various species of Orchis, and Eulophia. It is used to make a nutritious beverage by treating the powdered preparation with hot water.
shame	To be ashamed; to feel shame.
sense	A faculty, possessed by animals, of perceiving external objects by means of impressions made upon certain organs (sensory or sense organs) of the body, or of perceiving changes in the condition of the body; as, the senses of sight, smell, hearing, taste, and touch. See Muscular sense, under Muscular, and Temperature sense, under Temperature.
bayou	An inlet from the Gulf of Mexico, from a lake, or from a large river, sometimes sluggish, sometimes without perceptible movement except from tide and wind.
carob	An evergreen leguminous tree (Ceratania Siliqua) found in the countries bordering the Mediterranean; the St. John's bread; -- called also carob tree.
prise	See Prize, n., 5. Also Prize, v. t.
raton	A small rat.
crowd	An ancient instrument of music with six strings; a kind of violin, being the oldest known stringed instrument played with a bow.
earth	A plowing.
feast	To eat sumptuously; to dine or sup on rich provisions, particularly in large companies, and on public festivals.
genie	Same as Genius{1}.
petar	See Petard.
stark	Stiff; rigid.
twite	The mountain linnet (Linota flavirostris).
chime	To sound in harmonious accord, as bells.
deess	A goddess.
poppy	Any plant or species of the genus Papaver, herbs with showy polypetalous flowers and a milky juice.  From one species (Papaver somniferum) opium is obtained, though all the species contain it to some extent; also, a flower of the plant. See Illust. of Capsule.
quilt	Anything that is quilted; esp., a quilted bed cover, or a skirt worn by women; any cover or garment made by putting wool, cotton, etc., between two cloths and stitching them together; also, any outer bed cover.
lysis	The resolution or favorable termination of a disease, coming on gradually and not marked by abrupt change.
scrat	An hermaphrodite.
daric	A silver coin of about 86 grains, having the figure of an archer, and hence, in modern times, called a daric.
egypt	a country at the northeastern corner of Africa.  At one time it was joined with Syria to form the United Arab Republic.
ender	One who, or that which, makes an end of something; as, the ender of my life.
uhlan	One of a certain description of militia among the Tartars.
waver	A sapling left standing in a fallen wood.
crook	To turn from a straight line; to bend; to curve.
cinch	A variety of auction pitch in which a draw to improve the hand is added, and the five of trumps (called right pedro) and the five of the same color (called left pedro, and ranking between the five and the four of trumps) each count five on the score. Fifty-one points make a game. Called also double pedro and high five.
motif	Motive.
bergh	A hill.
lyden	See Leden.
dooly	A kind of litter suspended from men's shoulders, for carrying persons or things; a palanquin.
logan	A rocking or balanced stone.
nonny	A silly fellow; a ninny.
payer	One who pays; specifically, the person by whom a bill or note has been, or should be, paid.
stria	A minute groove, or channel; a threadlike line, as of color; a narrow structural band or line; a striation; as, the striae, or groovings, produced on a rock by a glacier passing over it; the striae on the surface of a shell; a stria of nervous matter in the brain.
seynt	A gridle. See 1st Seint.
bride	A woman newly married, or about to be married.
conus	A cone.
stoop	The act of stooping, or bending the body forward; inclination forward; also, an habitual bend of the back and shoulders.
mitty	The stormy petrel.
quirk	A sudden turn; a starting from the point or line; hence, an artful evasion or subterfuge; a shift; a quibble; as, the quirks of a pettifogger.
chimp	same as chimpanzee.
iulus	A genus of chilognathous myriapods. The body is long and round, consisting of numerous smooth, equal segments, each of which bears two pairs of short legs. It includes the galleyworms. See Chilognatha.
izedi	One of an Oriental religious sect which worships Satan or the Devil.
apoda	A group of worms without appendages, as the leech.
brown	A dark color inclining to red or yellow, resulting from the mixture of red and black, or of red, black, and yellow; a tawny, dusky hue.
sally	A leaping forth; a darting; a spring.
trays	See Trais.
zacco	See Zocco.
gaffe	A socially awkward or tactless act.
satyr	A sylvan deity or demigod, represented as part man and part goat, and characterized by riotous merriment and lasciviousness.
scath	Harm; damage; injury; hurt; waste; misfortune.
ameba	naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion.  Same as amoeba.
pugil	As much as is taken up between the thumb and two first fingers.
spank	A blow with the open hand; a slap.
tuber	A genus of fungi. See Truffle.
colon	That part of the large intestines which extends from the c<ae/cum to the rectum. [See Illust. of Digestion.]
hoops	The game of basketball.
labia	See Labium.
siren	One of three sea nymphs, -- or, according to some writers, of two, -- said to frequent an island near the coast of Italy, and to sing with such sweetness that they lured mariners to destruction.
whisp	A flock of snipe.
crail	A creel or osier basket.
deads	The substances which inclose the ore on every side.
heugh	A crag; a cliff; a glen with overhanging sides.
ileum	The last, and usually the longest, division of the small intestine; the part between the jejunum and large intestine.
privy	A partaker; a person having an interest in any action or thing; one who has an interest in an estate created by another; a person having an interest derived from a contract or conveyance to which he is not himself a party.  The term, in its proper sense, is distinguished from party.
quair	A quire; a book.
regie	Direct management of public finance or public works by agents of the government for government account; -- opposed to the contract system.
ajour	of or pertaining to objects which are pierced or decorated with an openwork pattern.
